Institute,Program,Seat Type,Gender,OR,CR
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,1195,2361
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,4812,5994
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,238,703
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),SC,Female-Only,459,1252
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,315,474
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),ST,Female-Only,684,684
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,800,1255
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2840,3552
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,86P,86P
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,385,500
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1139,1152
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,23P,23P
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,601,2464
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,4813,5969
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,176,176
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,198,198
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,443,735
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),SC,Female-Only,1124,1242
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),SC(PwD),Gender-Neutral,9,9
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,308,469
IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-Only,523,649
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,973,1829
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3469,4597
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,80,30P
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,522,725
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1442,1643
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,10P,10P
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2666,4250
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,6085,8597
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,62,202
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,444,946
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),SC,Female-Only,824,1778
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,23,290
IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),ST,Female-Only,294,522
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,6,54
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,70,331
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,2,3
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,5,20
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,38,53
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,3,3
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,1,66
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,29,369
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,1,4
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,12,12
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1,31
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,111,270
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),SC(PwD),Gender-Neutral,1,1
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,2,19
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,17,76
IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),ST(PwD),Gender-Neutral,1,1
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,122,339
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,588,1117
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,20,20
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,51,113
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,235,396
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,11,11
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,106,433
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,779,1914
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,23,23
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,57,163
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-Only,345,753
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),SC(PwD),Gender-Neutral,7,7
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,21,96
IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-Only,196,260
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,269,1247
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1588,3828
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,26P,26P
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,260,615
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1172,1172
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),OPEN,Gender-Neutral,122,1539
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),OPEN,Female-Only,3126,5593
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,40,40
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),SC,Gender-Neutral,483,850
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),SC,Female-Only,1089,1213
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,353,638
IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),ST,Female-Only,642,642
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,335,946
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1158,2632
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,67,69
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,201,336
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,859,1086
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,13P,13P
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,490,1834
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,2816,4693
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,89,93
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,168,513
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),SC,Female-Only,859,1179
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,129,291
IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-Only,636,766
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1356,2159
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3893,4903
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,580,917
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1515,1782
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2712,4345
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),OPEN,Female-Only,6628,8075
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,92P,92P
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),SC,Gender-Neutral,968,1345
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),SC,Female-Only,2121,2209
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),ST,Gender-Neutral,377,677
IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),ST,Female-Only,864,1156
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1089,1455
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3365,3818
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,381,494
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1422,1422
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,1810,2584
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,4087,6136
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,320,841
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),SC,Female-Only,2222,2222
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,678,732
IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),ST,Female-Only,1090,1090
IIT Bombay,Chemistry (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,2801,3637
IIT Bombay,Chemistry (4 Years Bachelor of Science),OBC-NCL,Female-Only,6467,6573
IIT Bombay,Chemistry (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,986,1353
IIT Bombay,Chemistry (4 Years Bachelor of Science),GEN-EWS,Female-Only,2621,2621
IIT Bombay,Chemistry (4 Years Bachelor of Science),OPEN,Gender-Neutral,3133,7228
IIT Bombay,Chemistry (4 Years Bachelor of Science),OPEN,Female-Only,9368,10435
IIT Bombay,Chemistry (4 Years Bachelor of Science),SC,Gender-Neutral,1436,2164
IIT Bombay,Chemistry (4 Years Bachelor of Science),SC,Female-Only,719,719
IIT Bombay,Chemistry (4 Years Bachelor of Science),ST,Gender-Neutral,910,1140
IIT Bombay,Chemistry (4 Years Bachelor of Science),ST,Female-Only,1540,1540
IIT Bombay,Economics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,993,1405
IIT Bombay,Economics (4 Years Bachelor of Science),OBC-NCL,Female-Only,2899,3344
IIT Bombay,Economics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,498,554
IIT Bombay,Economics (4 Years Bachelor of Science),GEN-EWS,Female-Only,978,978
IIT Bombay,Economics (4 Years Bachelor of Science),OPEN,Gender-Neutral,1531,2372
IIT Bombay,Economics (4 Years Bachelor of Science),OPEN,Female-Only,3744,4928
IIT Bombay,Economics (4 Years Bachelor of Science),SC,Gender-Neutral,371,855
IIT Bombay,Economics (4 Years Bachelor of Science),SC,Female-Only,1565,1565
IIT Bombay,Economics (4 Years Bachelor of Science),ST,Gender-Neutral,691,828
IIT Bombay,Economics (4 Years Bachelor of Science),ST,Female-Only,564,564
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,742,1018
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),OBC-NCL,Female-Only,4453,4453
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),OBC-NCL(PwD),Gender-Neutral,56P,56P
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,397,397
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),GEN-EWS,Female-Only,1085,1085
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),OPEN,Gender-Neutral,753,1067
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),OPEN,Female-Only,3432,3432
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),SC,Gender-Neutral,556,1147
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),SC,Female-Only,1771,1771
IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),ST,Gender-Neutral,557,557
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,2786,4014
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),OBC-NCL,Female-Only,5934,5934
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,1123,1311
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),GEN-EWS,Female-Only,2839,2839
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),OPEN,Gender-Neutral,6087,8343
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),OPEN,Female-Only,13688,13761
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),SC,Gender-Neutral,2140,2370
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),SC,Female-Only,2950,2950
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),ST,Gender-Neutral,1063,1070
IIT Bombay,Applied Geophysics (4 Years Bachelor of Science),ST,Female-Only,1581,1581
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL,Gender-Neutral,417,549
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL,Female-Only,1211,1545
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL(PwD),Gender-Neutral,37,37
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),GEN-EWS,Gender-Neutral,178,265
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),GEN-EWS,Female-Only,443,621
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),GEN- EWS(PwD),Gender-Neutral,36,36
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Gender-Neutral,470,841
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Female-Only,2219,3274
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN(PwD),Gender-Neutral,29,29
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,128,293
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Female-Only,715,998
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,168,204
IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Female-Only,248,248
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2015,2587
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,5175,5253
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,802,959
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2412,2412
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,3143,4777
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,8026,8925
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,78P,78P
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1143,1375
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,2221,2221
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,792,821
IIT Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,1239,1239
IIT Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,668,974
IIT Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2844,2913
IIT Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,100P,100P
IIT Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,161,222
IIT Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),GEN-EWS,Female-Only,711,711
