Institute,Program,Seat Type,Gender,OR,CR
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),GEN-EWS,Gender-Neutral,649,838
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),GEN-EWS,Female-Only,1334,1334
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Gender-Neutral,816,3380
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Female-Only,4903,7751
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN(PwD),Gender-Neutral,217,217
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,784,1513
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Female-Only,1366,1960
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,776,950
IIT Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Female-Only,705,705
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2709,3160
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,5286,5286
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1374,1383
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2344,2344
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,4097,5261
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,7509,8978
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,335P,335P
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1474,1832
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),SC,Female-Only,2186,2186
IIT Madras,Biological Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,829,1076
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,98,165
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OBC-NCL,Female-Only,500,611
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,16,16
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,36,65
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),GEN-EWS,Female-Only,145,145
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OPEN,Gender-Neutral,102,306
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OPEN,Female-Only,778,1140
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,30,30
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),SC,Gender-Neutral,15,113
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),SC,Female-Only,359,359
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),ST,Gender-Neutral,5,44
IIT Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),ST,Female-Only,112,112
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,397,741
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1749,1874
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,35,35
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,237,293
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),GEN-EWS,Female-Only,761,761
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OPEN,Gender-Neutral,597,1309
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OPEN,Female-Only,4035,4564
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,87,87
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),SC,Gender-Neutral,372,510
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),SC,Female-Only,1129,1129
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),ST,Gender-Neutral,297,355
IIT Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),ST,Female-Only,1237,1237
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1548,2242
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2911,3943
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1215,1221
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2040,2040
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2733,4366
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,5888,7756
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,57P,57P
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1753,1887
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),SC,Female-Only,2120,2120
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,989,1061
IIT Madras,Instrumentation and Biomedical Engineering (4 Years Bachelor of Technology),ST,Female-Only,390,390
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,3229,3681
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,5327,6911
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1420,1531
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2751,2751
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,6852,9276
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,13566,16100
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1452,2436
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),SC,Female-Only,3424,3689
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,755,1089
IIT Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1391,1391
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4053,4296
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,7261,7922
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1358,1688
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2941,2941
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,9310,10796
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,15658,17377
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1773,2498
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),SC,Female-Only,3302,3710
IIT Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,487,565
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,589,805
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1882,2635
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,81,81
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,245,308
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,508,508
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,905,2020
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,3718,4811
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,83,83
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,342,428
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,869,1027
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,142,178
IIT Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,470,470
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1648,1973
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4441,4655
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,640,728
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1377,1377
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2282,3931
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,8345,9923
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,151P,151P
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1126,1288
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-Only,1197,1906
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,596,634
IIT Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-Only,951,951
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2376,3099
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,6297,7216
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1008,1209
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2506,2506
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,4409,6904
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,12719,14147
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1509,1927
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),SC,Female-Only,3419,3419
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,635,754
IIT Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1543,1543
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,921,1140
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2686,2821
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,102P,102P
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,337,344
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Gender-Neutral,1822,2236
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Female-Only,4941,5962
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,603,740
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),SC,Female-Only,1263,1263
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,285,295
IIT Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-Only,716,716
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4127,4914
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,8438,8901
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1803,1929
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3078,3078
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,7239,11066
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,17494,19655
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2476,2858
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),SC,Female-Only,3856,3856
IIT Gandhinagar,Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1160,1357
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1391,2245
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4946,4946
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,547,661
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2173,2173
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2295,4652
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),OPEN,Female-Only,6639,6999
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),SC,Gender-Neutral,442,1364
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),SC,Female-Only,2422,2422
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),ST,Gender-Neutral,669,742
IIT Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),ST,Female-Only,1489,1489
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4320,4878
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,7942,9151
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1814,2001
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3282,3282
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,11304,13715
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,20437,22069
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2662,2987
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),SC,Female-Only,3738,3747
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1180,1310
IIT Patna,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1759,1759
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4899,5515
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),OBC-NCL,Female-Only,8942,9199
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,2174,2337
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3564,3564
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),OPEN,Gender-Neutral,13449,15406
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),OPEN,Female-Only,22540,23357
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),SC,Gender-Neutral,3004,3254
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),SC,Female-Only,4086,4086
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),ST,Gender-Neutral,1225,1322
IIT Patna,Chemical Science and Technology (4 Years Bachelor of Technology),ST,Female-Only,1803,1803
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4691,5243
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,8805,9442
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,2075,2249
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3801,3801
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,12605,15400
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,22067,24896
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2497,2893
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),SC,Female-Only,3775,3780
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1044,1157
IIT Patna,Civil Engineering (4 Years Bachelor of Technology),ST,Female-Only,1447,1447
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,689,1312
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2944,3306
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,47,47
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,380,531
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1136,1150
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,1954,3377
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,7383,9042
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,102,103
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,242,242
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,562,988
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,1688,1784
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,296,375
IIT Patna,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,723,723
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2121,2461
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4634,4959
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,736,788
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1872,1872
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,4803,6167
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,10634,13073
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,89P,89P
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1063,1580
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC,Female-Only,2299,2299
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,646,824
IIT Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Female-Only,967,967
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4700,5475
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL,Female-Only,8601,9005
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1875,2218
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),GEN-EWS,Female-Only,4111,4111
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),OPEN,Gender-Neutral,11060,12986
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),OPEN,Female-Only,21075,22305
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),SC,Gender-Neutral,2881,3050
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),SC,Female-Only,3874,3874
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,1359,1446
IIT Patna,Engineering Physics (4 Years Bachelor of Technology),ST,Female-Only,2060,2060
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1353,2095
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4233,4606
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,657,683
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1630,1630
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),OPEN,Gender-Neutral,3854,4851
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),OPEN,Female-Only,10136,11670
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,206,206
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,1243,1437
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),SC,Female-Only,1518,1518
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,626,811
IIT Patna,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-Only,1165,1165
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,3396,4286
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,6895,8475
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1646,1787
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3053,3129
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,8588,11758
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,19717,21621
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2014,2489
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),SC,Female-Only,3606,3748
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1009,1141
IIT Patna,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1597,1597
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,5177,5617
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,9602,9621
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,2374,2541
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,4014,4014
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,13771,16510
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,24221,25605
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2934,3183
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),SC,Female-Only,4368,4368
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1356,1361
IIT Patna,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Female-Only,2015,2015
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2316,2827
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4967,5440
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,894,1124
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2712,2712
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,6177,7502
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,14374,15804
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,185P,185P
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1591,1789
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),SC,Female-Only,2612,2612
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,867,925
IIT Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),ST,Female-Only,1330,1330
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1494,1862
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3742,3917
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,78P,78P
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,548,642
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1275,1275
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),OPEN,Gender-Neutral,3490,4312
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),OPEN,Female-Only,9306,9951
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),SC,Gender-Neutral,780,1251
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),SC,Female-Only,2055,2055
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),ST,Gender-Neutral,435,473
IIT Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),ST,Female-Only,844,844
IIT Patna,Economics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,4239,5535
IIT Patna,Economics (4 Years Bachelor of Science),OBC-NCL,Female-Only,7282,7282
IIT Patna,Economics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,2187,2205
IIT Patna,Economics (4 Years Bachelor of Science),GEN-EWS,Female-Only,3898,3898
IIT Patna,Economics (4 Years Bachelor of Science),OPEN,Gender-Neutral,7598,13720
IIT Patna,Economics (4 Years Bachelor of Science),OPEN,Female-Only,21182,22870
IIT Patna,Economics (4 Years Bachelor of Science),SC,Gender-Neutral,2513,3002
IIT Patna,Economics (4 Years Bachelor of Science),SC,Female-Only,3770,3770
IIT Patna,Economics (4 Years Bachelor of Science),ST,Gender-Neutral,1506,1506
IIT Patna,B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years Bachelor of Technology and MBA (Dual Degree)),OBC-NCL,Gender-Neutral,4725,4725
IIT Patna,B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years Bachelor of Technology and MBA (Dual Degree)),GEN-EWS,Gender-Neutral,2549,2549
